"filename", "language", "vue", "SCSS", "TypeScript", "XML", "JSON", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\electron\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 38, 0, -13, 1, 26
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\index.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\package-lock.json", "JSON", 0, 0, 0, 0, 2652, 0, 0, 0, 0, 0, 2652
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\package.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\json\book_category.json", "JSON", 0, 0, 0, 0, 742, 0, 0, 0, 0, 0, 742
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\addKeyWord.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\addVolumeIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\closeWinIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\diagram.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\diagram2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\expDOCXIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\expPDFIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\expTXTIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontColorIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontFamilyIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontSizeIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\fontWeightIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\keyword.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\keyword2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\lineHeighIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\map.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\map2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\maximizeIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\maximizeIcon2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\minimizeIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\otherSettingIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paperColorIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paperSizeIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paraFocusIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\paragraphIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\plot.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\plot2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\segSpacingIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\softThemeIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\templateicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\textIndentIcon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\timeline2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\trashcan.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\assets\svg\writtenwords.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\index.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 5, 1, 57
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\editor\syntax.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 4, 4, 47
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\pEditor\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, -11171, 0, -29, -16, -11216
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\common\pEditor\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -121, -3, -4, -128
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\BookDetail.vue", "vue", -628, 0, 0, 0, 0, 0, 0, 0, 0, 2, -626
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\HomeContent.vue", "vue", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\KeywordEditor.vue", "vue", -38, 0, 0, 0, 0, 0, 0, 0, 0, 0, -38
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\LabelTop.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\RecycleContent.vue", "vue", -55, 0, 0, 0, 0, 0, 0, 0, 0, -1, -56
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TimelineEditor.vue", "vue", 539, 0, 0, 0, 0, 0, 0, 0, 0, 10, 549
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\TitleBlock.vue", "vue", -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, -61
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\WritingPaper.vue", "vue", 15, 0, 0, 0, 0, 0, 0, 0, 0, -2, 13
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\FloatBox.vue", "vue", -50, 0, 0, 0, 0, 0, 0, 0, 0, -2, -52
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\MultipleBar.vue", "vue", -21, 0, 0, 0, 0, 0, 0, 0, 0, -1, -22
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\SpecialeditorTop.vue", "vue", -111, 0, 0, 0, 0, 0, 0, 0, 0, -1, -112
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\components\widget\Toolbar.vue", "vue", -127, 0, 0, 0, 0, 0, 0, 0, 0, -9, -136
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\env.d.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, -1, 2, 18
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\DiagramEditor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -24, 0, -2, -26
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\KeywordEditor.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -487, -2, -83, -572
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\KeywordEditor.scss", "SCSS", 0, 509, 0, 0, 0, 0, 0, 0, 1, 81, 591
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bigworldcontent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bigworldcontent.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bookdetail.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -464, -13, -86, -563
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\bookdetail.scss", "SCSS", 0, 477, 0, 0, 0, 0, 0, 0, 22, 81, 580
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\diagramEditor.scss", "SCSS", 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\fine-tune-timeLine.scss", "SCSS", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\floatBox.scss", "SCSS", 0, 49, 0, 0, 0, 0, 0, 0, 1, 5, 55
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\global.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -31, -2, -8, -41
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\global.scss", "SCSS", 0, 50, 0, 0, 0, 0, 0, 0, 5, 11, 66
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\homecontent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -259, -1, -36, -296
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\homecontent.scss", "SCSS", 0, 264, 0, 0, 0, 0, 0, 0, 1, 36, 301
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\labeltop.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -43, 0, -7, -50
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\labeltop.scss", "SCSS", 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\multipleBar.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\readingcontent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, -10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\readingcontent.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\recyclecontent.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -55, -1, -7, -63
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\recyclecontent.scss", "SCSS", 0, 55, 0, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\sidebarleft.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -96, 0, -13, -109
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\sidebarleft.scss", "SCSS", 0, 96, 0, 0, 0, 0, 0, 0, 0, 13, 109
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\specialeditorTop.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\toolbar.scss", "SCSS", 0, 103, 0, 0, 0, 0, 0, 0, 1, 15, 119
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\style\writerPage.scss", "SCSS", 0, 209, 0, 0, 0, 0, 0, 0, 3, 40, 252
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\utils\flowControl.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 20
"c:\Users\Administrator\Desktop\project\authoringTool\inking\inking-vite\inking\src\views\writerPage.vue", "vue", -650, 0, 0, 0, 0, 0, 0, 0, 0, -18, -668
"Total", "-", -1195, 1964, 107, 35, 3402, 1, -11133, -1600, -6, 33, -8392